tissue,subTissues
557,Heart,Heart_fibroblast
558,Heart,Heart_fibroblast
559,Heart,Heart_fibroblast
560,Heart,Heart_fibroblast
561,Heart,Heart_fibroblast
562,Heart,Heart_fibroblast
563,Heart,Heart_fibroblast
564,Heart,Heart_fibroblast
565,Heart,Heart_fibroblast
566,Heart,Heart_fibroblast
567,Heart,Heart_fibroblast
568,Heart,Heart_fibroblast
569,Heart,Heart_fibroblast
570,Heart,Heart_fibroblast
571,Heart,Heart_fibroblast
572,Heart,Heart_fibroblast
573,Heart,Heart_fibroblast
574,Heart,Heart_fibroblast
575,Heart,Heart_fibroblast
576,Heart,Heart_fibroblast
577,Heart,Heart_fibroblast
578,Heart,Heart_fibroblast
579,Heart,Heart_fibroblast
580,Heart,Heart_fibroblast
581,Heart,Heart_fibroblast
582,Heart,Heart_fibroblast
583,Heart,Heart_fibroblast
584,Heart,Heart_fibroblast
585,Heart,Heart_fibroblast
586,Heart,Heart_fibroblast
587,Heart,Heart_fibroblast
588,Heart,Heart_fibroblast
589,Heart,Heart_fibroblast
590,Heart,Heart_fibroblast
591,Heart,Heart_fibroblast
592,Heart,Heart_fibroblast
593,Heart,Heart_fibroblast
594,Heart,Heart_fibroblast
595,Heart,Heart_fibroblast
596,Heart,Heart_fibroblast
597,Heart,Heart_fibroblast
598,Heart,Heart_fibroblast
599,Heart,Heart_fibroblast
600,Heart,Heart_fibroblast
601,Heart,Heart_fibroblast
602,Heart,Heart_fibroblast
603,Heart,Heart_fibroblast
604,Heart,Heart_smoothmusclecell
605,Heart,Heart_smoothmusclecell
606,Heart,Heart_smoothmusclecell
607,Heart,Heart_smoothmusclecell
608,Heart,Heart_smoothmusclecell
609,Heart,Heart_smoothmusclecell
610,Heart,Heart_smoothmusclecell
611,Heart,Heart_smoothmusclecell
612,Heart,Heart_smoothmusclecell
613,Heart,Heart_smoothmusclecell
614,Heart,Heart_smoothmusclecell
615,Heart,Heart_smoothmusclecell
616,Heart,Heart_smoothmusclecell
617,Heart,Heart_smoothmusclecell
618,Heart,Heart_smoothmusclecell
619,Heart,Heart_smoothmusclecell
620,Heart,Heart_smoothmusclecell
621,Heart,Heart_smoothmusclecell
622,Heart,Heart_smoothmusclecell
623,Heart,Heart_smoothmusclecell
624,Heart,Heart_smoothmusclecell
625,Liver,Liver_endothelialcell
626,Liver,Liver_endothelialcell
627,Liver,Liver_endothelialcell
628,Liver,Liver_endothelialcell
629,Liver,Liver_endothelialcell
630,Liver,Liver_endothelialcell
631,Liver,Liver_endothelialcell
632,Liver,Liver_endothelialcell
633,Liver,Liver_endothelialcell
634,Liver,Liver_endothelialcell
635,Liver,Liver_hepatocyte
636,Liver,Liver_hepatocyte
637,Liver,Liver_hepatocyte
638,Liver,Liver_hepatocyte
639,Liver,Liver_hepatocyte
640,Liver,Liver_hepatocyte
641,Liver,Liver_hepatocyte
642,Liver,Liver_hepatocyte
643,Liver,Liver_hepatocyte
644,Liver,Liver_hepatocyte
645,Liver,Liver_hepatocyte
646,Liver,Liver_hepatocyte
647,Liver,Liver_hepatocyte
648,Liver,Liver_hepatocyte
649,Liver,Liver_hepatocyte
650,Liver,Liver_hepatocyte
651,Liver,Liver_hepatocyte
652,Liver,Liver_hepatocyte
653,Liver,Liver_hepatocyte
654,Liver,Liver_hepatocyte
655,Liver,Liver_hepatocyte
656,Liver,Liver_hepatocyte
657,Liver,Liver_hepatocyte
658,Liver,Liver_hepatocyte
659,Liver,Liver_hepatocyte
660,Liver,Liver_hepatocyte
661,Liver,Liver_hepatocyte
662,Liver,Liver_hepatocyte
663,Liver,Liver_hepatocyte
664,Liver,Liver_hepatocyte
665,Liver,Liver_hepatocyte
666,Liver,Liver_hepatocyte
667,Liver,Liver_hepatocyte
668,Liver,Liver_hepatocyte
669,Liver,Liver_hepatocyte
670,Liver,Liver_hepatocyte
671,Liver,Liver_hepatocyte
672,Liver,Liver_hepatocyte
673,Liver,Liver_hepatocyte
674,Liver,Liver_hepatocyte
675,Liver,Liver_hepatocyte
676,Liver,Liver_hepatocyte
677,Liver,Liver_hepatocyte
678,Liver,Liver_hepatocyte
679,Liver,Liver_hepatocyte
680,Liver,Liver_hepatocyte
681,Liver,Liver_hepatocyte
682,Liver,Liver_hepatocyte
683,Liver,Liver_hepatocyte
684,Liver,Liver_hepatocyte
685,Liver,Liver_hepatocyte
686,Liver,Liver_hepatocyte
687,Liver,Liver_hepatocyte
688,Liver,Liver_hepatocyte
689,Liver,Liver_hepatocyte
690,Liver,Liver_hepatocyte
691,Liver,Liver_hepatocyte
692,Liver,Liver_hepatocyte
693,Liver,Liver_hepatocyte
694,Liver,Liver_hepatocyte
695,Liver,Liver_hepatocyte
696,Liver,Liver_hepatocyte
697,Liver,Liver_hepatocyte
698,Liver,Liver_hepatocyte
699,Liver,Liver_hepatocyte
700,Liver,Liver_hepatocyte
701,Liver,Liver_hepatocyte
702,Liver,Liver_hepatocyte
703,Liver,Liver_hepatocyte
704,Liver,Liver_hepatocyte
705,Liver,Liver_hepatocyte
706,Liver,Liver_hepatocyte
707,Liver,Liver_hepatocyte
708,Liver,Liver_hepatocyte
709,Liver,Liver_hepatocyte
710,Liver,Liver_hepatocyte
711,Liver,Liver_hepatocyte
712,Liver,Liver_hepatocyte
713,Liver,Liver_hepatocyte
714,Liver,Liver_hepatocyte
715,Liver,Liver_hepatocyte
716,Liver,Liver_hepatocyte
717,Liver,Liver_hepatocyte
718,Liver,Liver_hepatocyte
719,Liver,Liver_hepatocyte
720,Liver,Liver_hepatocyte
721,Liver,Liver_hepatocyte
722,Liver,Liver_hepatocyte
723,Liver,Liver_hepatocyte
724,Liver,Liver_hepatocyte
725,Liver,Liver_hepatocyte
726,Liver,Liver_hepatocyte
727,Liver,Liver_hepatocyte
728,Liver,Liver_hepatocyte
729,Liver,Liver_hepatocyte
730,Liver,Liver_hepatocyte
731,Liver,Liver_hepatocyte
732,Liver,Liver_hepatocyte
733,Liver,Liver_hepatocyte
734,Liver,Liver_hepatocyte
735,Liver,Liver_hepatocyte
736,Liver,Liver_hepatocyte
737,Liver,Liver_hepatocyte
738,Liver,Liver_hepatocyte
739,Liver,Liver_hepatocyte
740,Liver,Liver_hepatocyte
741,Liver,Liver_hepatocyte
742,Liver,Liver_hepatocyte
743,Liver,Liver_hepatocyte
744,Liver,Liver_hepatocyte
745,Liver,Liver_hepatocyte
746,Liver,Liver_hepatocyte
747,Liver,Liver_hepatocyte
748,Liver,Liver_hepatocyte
749,Liver,Liver_hepatocyte
750,Liver,Liver_hepatocyte
751,Liver,Liver_hepatocyte
752,Liver,Liver_hepatocyte
753,Liver,Liver_hepatocyte
754,Liver,Liver_hepatocyte
755,Liver,Liver_hepatocyte
756,Liver,Liver_hepatocyte
757,Liver,Liver_hepatocyte
758,Liver,Liver_hepatocyte
759,Liver,Liver_hepatocyte
760,Liver,Liver_hepatocyte
761,Liver,Liver_hepatocyte
762,Liver,Liver_hepatocyte
763,Liver,Liver_hepatocyte
764,Liver,Liver_hepatocyte
765,Liver,Liver_hepatocyte
766,Liver,Liver_hepatocyte
767,Liver,Liver_hepatocyte
768,Liver,Liver_hepatocyte
769,Liver,Liver_hepatocyte
770,Liver,Liver_hepatocyte
771,Liver,Liver_hepatocyte
772,Liver,Liver_hepatocyte
773,Liver,Liver_hepatocyte
774,Liver,Liver_hepatocyte
775,Liver,Liver_hepatocyte
776,Liver,Liver_hepatocyte
777,Liver,Liver_hepatocyte
778,Liver,Liver_hepatocyte
779,Liver,Liver_hepatocyte
780,Liver,Liver_hepatocyte
781,Liver,Liver_hepatocyte
782,Liver,Liver_hepatocyte
783,Liver,Liver_hepatocyte
784,Liver,Liver_hepatocyte
785,Liver,Liver_hepatocyte
786,Liver,Liver_hepatocyte
787,Liver,Liver_hepatocyte
788,Liver,Liver_hepatocyte
789,Liver,Liver_hepatocyte
790,Liver,Liver_hepatocyte
791,Liver,Liver_hepatocyte
792,Liver,Liver_hepatocyte
793,Liver,Liver_hepatocyte
794,Liver,Liver_hepatocyte
795,Liver,Liver_hepatocyte
796,Liver,Liver_hepatocyte
797,Liver,Liver_hepatocyte
798,Liver,Liver_hepatocyte
799,Liver,Liver_hepatocyte
800,Liver,Liver_hepatocyte
801,Liver,Liver_hepatocyte
802,Liver,Liver_hepatocyte
803,Liver,Liver_hepatocyte
804,Liver,Liver_hepatocyte
805,Liver,Liver_hepatocyte
806,Liver,Liver_hepatocyte
807,Liver,Liver_hepatocyte
808,Liver,Liver_hepatocyte
809,Liver,Liver_hepatocyte
810,Liver,Liver_hepatocyte
811,Liver,Liver_hepatocyte
812,Liver,Liver_hepatocyte
813,Liver,Liver_hepatocyte
814,Liver,Liver_hepatocyte
815,Liver,Liver_hepatocyte
816,Liver,Liver_hepatocyte
